# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3437500e+01
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
25             	9.9199161e-02	1.7550025e-04	3.2823490e-04	1.4143576e-02	-3.6347673e-04	1.5478504e-03	6.3743157e-02	3.5456005e-02	1.6356005e-03	-1.4601003e-03	-1.9935928e-04	5.2759418e-04
26             	1.0093488e-01	1.5586857e-04	3.2969395e-04	1.4188247e-02	-3.9196133e-04	1.5183458e-03	6.4655688e-02	3.6279194e-02	1.5962801e-03	-1.4404115e-03	-2.2711435e-04	5.5680831e-04
27             	1.0247806e-01	1.3380483e-04	3.3565975e-04	1.4222227e-02	-4.5893997e-04	1.4686220e-03	6.5461256e-02	3.7016802e-02	1.5355244e-03	-1.4017195e-03	-2.9111010e-04	6.2676985e-04
28             	1.0386113e-01	1.1292985e-04	3.4229056e-04	1.4249243e-02	-5.3405817e-04	1.4169255e-03	6.6179809e-02	3.7681323e-02	1.4733904e-03	-1.3604605e-03	-3.6291289e-04	7.0520345e-04
29             	1.0510298e-01	9.4927757e-05	3.4776349e-04	1.4271065e-02	-6.0145773e-04	1.3721023e-03	6.6822554e-02	3.8280425e-02	1.4195662e-03	-1.3246384e-03	-4.2757599e-04	7.7533947e-04
30             	1.0621987e-01	7.9979814e-05	3.5171656e-04	1.4288850e-02	-6.5646511e-04	1.3369129e-03	6.7398787e-02	3.8821087e-02	1.3769028e-03	-1.2969230e-03	-4.8060683e-04	8.3232339e-04
31             	1.0722584e-01	6.7829301e-05	3.5436124e-04	1.4303492e-02	-6.9958594e-04	1.3128011e-03	6.7916411e-02	3.9309428e-02	1.3467157e-03	-1.2788864e-03	-5.2240531e-04	8.7676656e-04
32             	1.0813038e-01	5.7788597e-05	3.5602624e-04	1.4315647e-02	-7.3281135e-04	1.2946904e-03	6.8380835e-02	3.9749542e-02	1.3235847e-03	-1.2657961e-03	-5.5479823e-04	9.1082447e-04
33             	1.0894283e-01	4.9520869e-05	3.5662665e-04	1.4325876e-02	-7.5318272e-04	1.2821452e-03	6.8797291e-02	4.0145538e-02	1.3069056e-03	-1.2573847e-03	-5.7486939e-04	9.3149604e-04
34             	1.0967027e-01	4.2567799e-05	3.5627340e-04	1.4334560e-02	-7.6104474e-04	1.2721573e-03	6.9169693e-02	4.0500573e-02	1.2934412e-03	-1.2508734e-03	-5.8290804e-04	9.3918144e-04
35             	1.1031765e-01	3.6410888e-05	3.5496583e-04	1.4341954e-02	-7.5522710e-04	1.2601845e-03	6.9500780e-02	4.0816871e-02	1.2783900e-03	-1.2419791e-03	-5.7774418e-04	9.3271002e-04
36             	1.1089236e-01	3.1087403e-05	3.5273030e-04	1.4348309e-02	-7.3516122e-04	1.2496818e-03	6.9794491e-02	4.1097873e-02	1.2652255e-03	-1.2341381e-03	-5.5879607e-04	9.1152637e-04
37             	1.1139965e-01	2.6419079e-05	3.4973657e-04	1.4353742e-02	-7.0271420e-04	1.2400321e-03	7.0053565e-02	4.1346082e-02	1.2532416e-03	-1.2268226e-03	-5.2784591e-04	8.7758248e-04
38             	1.1184430e-01	2.2159497e-05	3.4605979e-04	1.4358378e-02	-6.5829292e-04	1.2290543e-03	7.0280528e-02	4.1563772e-02	1.2401340e-03	-1.2179745e-03	-4.8526302e-04	8.3132281e-04
39             	1.1223212e-01	1.8294194e-05	3.4189853e-04	1.4362340e-02	-6.0463731e-04	1.2178926e-03	7.0478400e-02	4.1753720e-02	1.2270397e-03	-1.2087455e-03	-4.3368805e-04	7.7558657e-04
40             	1.1256880e-01	1.4748120e-05	3.3746927e-04	1.4365722e-02	-5.4494238e-04	1.2062889e-03	7.0650123e-02	4.1918678e-02	1.2136629e-03	-1.1989148e-03	-3.7620774e-04	7.1367701e-04
41             	1.1285876e-01	1.1431649e-05	3.3295205e-04	1.4368581e-02	-4.8189340e-04	1.1934733e-03	7.0797963e-02	4.2060802e-02	1.1991891e-03	-1.1877575e-03	-3.1541738e-04	6.4836943e-04
42             	1.1310651e-01	8.2817582e-06	3.2850299e-04	1.4370983e-02	-4.1795579e-04	1.1789212e-03	7.0924239e-02	4.2182272e-02	1.1830621e-03	-1.1747804e-03	-2.5370430e-04	5.8220729e-04
43             	1.1331663e-01	5.2207050e-06	3.2422704e-04	1.4372997e-02	-3.5484225e-04	1.1618127e-03	7.1031314e-02	4.2285321e-02	1.1644231e-03	-1.1592024e-03	-1.9272873e-04	5.1695577e-04
44             	1.1349381e-01	2.1904233e-06	3.2020626e-04	1.4374676e-02	-2.9397959e-04	1.1415229e-03	7.1121583e-02	4.2372230e-02	1.1426181e-03	-1.1404277e-03	-1.3387646e-04	4.5408272e-04
45             	1.1364197e-01	-8.4772378e-07	3.1651518e-04	1.4376068e-02	-2.3670895e-04	1.1176692e-03	7.1197052e-02	4.2444916e-02	1.1172453e-03	-1.1180931e-03	-7.8451364e-05	3.9496654e-04
46             	1.1376552e-01	-3.9067614e-06	3.1320856e-04	1.4377224e-02	-1.8409670e-04	1.0902390e-03	7.1259982e-02	4.2505535e-02	1.0882856e-03	-1.0921924e-03	-2.7492415e-05	3.4070098e-04
47             	1.1386807e-01	-6.9694363e-06	3.1033476e-04	1.4378177e-02	-1.3714868e-04	1.0596837e-03	7.1312210e-02	4.2555857e-02	1.0561990e-03	-1.0631684e-03	1.8018706e-05	2.9231606e-04
48             	1.1395305e-01	-1.0007448e-05	3.0792137e-04	1.4378965e-02	-9.6540244e-05	1.0266733e-03	7.1355492e-02	4.2597561e-02	1.0216696e-03	-1.0316770e-03	5.7420439e-05	2.5050093e-04
49             	1.1402348e-01	-1.2972529e-05	3.0597056e-04	1.4379619e-02	-6.2561280e-05	9.9220448e-04	7.1391360e-02	4.2632122e-02	9.8571821e-04	-9.9869074e-04	9.0424002e-05	2.1554656e-04
50             	1.1408203e-01	-1.5808943e-05	3.0446717e-04	1.4380166e-02	-3.5192608e-05	9.5743096e-04	7.1421181e-02	4.2660849e-02	9.4952648e-04	-9.6533543e-04	1.1704098e-04	1.8742619e-04
