# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3849340e+00
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
25             	1.6054199e-01	-8.4451781e-02	3.4145494e-07	3.9605049e-07	6.1604044e-07	7.0463192e-03	8.0271392e-02	8.0270600e-02	-3.5179572e-02	-4.9272210e-02	7.8676791e-07	-4.4531297e-07
26             	1.6053929e-01	-8.4451222e-02	2.6874050e-07	3.1195177e-07	4.8379761e-07	7.0473629e-03	8.0269958e-02	8.0269334e-02	-3.5178248e-02	-4.9272974e-02	6.1816786e-07	-3.4942736e-07
27             	1.6053699e-01	-8.4450732e-02	2.1166137e-07	2.4555687e-07	3.7933267e-07	7.0479730e-03	8.0268739e-02	8.0268248e-02	-3.5177393e-02	-4.9273339e-02	4.8516335e-07	-2.7350198e-07
28             	1.6053511e-01	-8.4450345e-02	1.6682012e-07	1.9317124e-07	2.9695153e-07	7.0482791e-03	8.0267746e-02	8.0267359e-02	-3.5176893e-02	-4.9273452e-02	3.8036160e-07	-2.1354147e-07
29             	1.6053363e-01	-8.4450068e-02	1.3157222e-07	1.5186800e-07	2.3209866e-07	7.0483780e-03	8.0266969e-02	8.0266665e-02	-3.5176656e-02	-4.9273412e-02	2.9788477e-07	-1.6631255e-07
30             	1.6053254e-01	-8.4449898e-02	1.0385229e-07	1.1932698e-07	1.8113348e-07	7.0483406e-03	8.0266387e-02	8.0266148e-02	-3.5176608e-02	-4.9273290e-02	2.3305963e-07	-1.2920734e-07
31             	1.6053176e-01	-8.4449820e-02	8.2043390e-08	9.3708785e-08	1.4115119e-07	7.0482181e-03	8.0265973e-02	8.0265786e-02	-3.5176692e-02	-4.9273128e-02	1.8217288e-07	-1.0012949e-07
32             	1.6053125e-01	-8.4449818e-02	6.4877612e-08	7.3555646e-08	1.0983812e-07	7.0480472e-03	8.0265698e-02	8.0265551e-02	-3.5176862e-02	-4.9272956e-02	1.4227693e-07	-7.7399313e-08
33             	1.6053095e-01	-8.4449872e-02	5.1349465e-08	5.7677222e-08	8.5331956e-08	7.0478524e-03	8.0265532e-02	8.0265417e-02	-3.5177084e-02	-4.9272788e-02	1.1100669e-07	-5.9657223e-08
34             	1.6053081e-01	-8.4449964e-02	4.0699998e-08	4.5148638e-08	6.6118115e-08	7.0476533e-03	8.0265448e-02	8.0265358e-02	-3.5177329e-02	-4.9272635e-02	8.6468114e-08	-4.5768115e-08
35             	1.6053078e-01	-8.4450080e-02	3.2294203e-08	3.5353155e-08	5.1177485e-08	7.0474630e-03	8.0265424e-02	8.0265353e-02	-3.5177577e-02	-4.9272503e-02	6.7324586e-08	-3.5030383e-08
36             	1.6053083e-01	-8.4450207e-02	2.5653323e-08	2.7699029e-08	3.9585702e-08	7.0472880e-03	8.0265441e-02	8.0265385e-02	-3.5177816e-02	-4.9272392e-02	5.2412363e-08	-2.6759040e-08
37             	1.6053091e-01	-8.4450328e-02	2.0340425e-08	2.1634888e-08	3.0519982e-08	7.0471302e-03	8.0265477e-02	8.0265434e-02	-3.5178034e-02	-4.9272294e-02	4.0690194e-08	-2.0349770e-08
38             	1.6053102e-01	-8.4450444e-02	1.6176563e-08	1.6779233e-08	2.3341237e-08	7.0469938e-03	8.0265527e-02	8.0265494e-02	-3.5178228e-02	-4.9272216e-02	3.1429518e-08	-1.5252955e-08
39             	1.6053114e-01	-8.4450550e-02	1.2884897e-08	1.3070539e-08	1.7881381e-08	7.0468801e-03	8.0265583e-02	8.0265556e-02	-3.5178395e-02	-4.9272155e-02	2.4323829e-08	-1.1438933e-08
40             	1.6053126e-01	-8.4450643e-02	1.0275993e-08	1.0232788e-08	1.3740268e-08	7.0467872e-03	8.0265638e-02	8.0265617e-02	-3.5178534e-02	-4.9272109e-02	1.8878264e-08	-8.6022712e-09
41             	1.6053136e-01	-8.4450723e-02	8.2113540e-09	8.0404282e-09	1.0586399e-08	7.0467123e-03	8.0265689e-02	8.0265673e-02	-3.5178649e-02	-4.9272074e-02	1.4692076e-08	-6.4807221e-09
42             	1.6053145e-01	-8.4450788e-02	6.5788225e-09	6.3319443e-09	8.1720030e-09	7.0466532e-03	8.0265734e-02	8.0265721e-02	-3.5178741e-02	-4.9272047e-02	1.1461414e-08	-4.8825917e-09
43             	1.6053153e-01	-8.4450837e-02	5.2863264e-09	4.9922112e-09	6.3150477e-09	7.0466080e-03	8.0265769e-02	8.0265759e-02	-3.5178811e-02	-4.9272027e-02	8.9582108e-09	-3.6718845e-09
44             	1.6053158e-01	-8.4450873e-02	4.2600099e-09	3.9375362e-09	4.8818728e-09	7.0465746e-03	8.0265796e-02	8.0265788e-02	-3.5178862e-02	-4.9272011e-02	7.0118777e-09	-2.7518679e-09
45             	1.6053162e-01	-8.4450897e-02	3.4419611e-09	3.1055462e-09	3.7734628e-09	7.0465510e-03	8.0265814e-02	8.0265807e-02	-3.5178898e-02	-4.9272000e-02	5.4944433e-09	-2.0524822e-09
46             	1.6053164e-01	-8.4450911e-02	2.7873398e-09	2.4486838e-09	2.9154598e-09	7.0465354e-03	8.0265824e-02	8.0265819e-02	-3.5178920e-02	-4.9271991e-02	4.3091296e-09	-1.5217899e-09
47             	1.6053164e-01	-8.4450911e-02	2.2373696e-09	1.9464960e-09	2.2748610e-09	7.0465257e-03	8.0265823e-02	8.0265819e-02	-3.5178930e-02	-4.9271981e-02	3.3935458e-09	-1.1561762e-09
48             	1.6053164e-01	-8.4450907e-02	1.8081762e-09	1.4845056e-09	1.6927794e-09	7.0465207e-03	8.0265819e-02	8.0265816e-02	-3.5178933e-02	-4.9271974e-02	2.5968675e-09	-7.8869133e-10
49             	1.6053162e-01	-8.4450900e-02	1.4657399e-09	1.1468743e-09	1.2694972e-09	7.0465195e-03	8.0265813e-02	8.0265811e-02	-3.5178931e-02	-4.9271970e-02	2.0023672e-09	-5.3662724e-10
50             	1.6053161e-01	-8.4450893e-02	1.1884741e-09	9.0440361e-10	9.7135604e-10	7.0465211e-03	8.0265806e-02	8.0265805e-02	-3.5178925e-02	-4.9271967e-02	1.5655931e-09	-3.7711900e-10
51             	1.6053160e-01	-8.4450885e-02	9.6468549e-10	7.2433953e-10	7.5777669e-10	7.0465240e-03	8.0265799e-02	8.0265798e-02	-3.5178918e-02	-4.9271966e-02	1.2401194e-09	-2.7543395e-10
