# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.2000000e+00
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
25             	1.8528339e-01	-9.7466786e-02	3.9407713e-07	4.5708649e-07	7.1097946e-07	8.1322391e-03	9.2642150e-02	9.2641236e-02	-4.0601154e-02	-5.6865632e-02	9.0801803e-07	-5.1394090e-07
26             	1.8528027e-01	-9.7466141e-02	3.1015655e-07	3.6002718e-07	5.5835646e-07	8.1334437e-03	9.2640495e-02	9.2639775e-02	-4.0599627e-02	-5.6866514e-02	7.1343473e-07	-4.0327819e-07
27             	1.8527761e-01	-9.7465576e-02	2.4428086e-07	2.8340005e-07	4.3779226e-07	8.1341478e-03	9.2639088e-02	9.2638521e-02	-4.0598640e-02	-5.6866936e-02	5.5993269e-07	-3.1565183e-07
28             	1.8527544e-01	-9.7465128e-02	1.9252905e-07	2.2294118e-07	3.4271523e-07	8.1345012e-03	9.2637942e-02	9.2637496e-02	-4.0598063e-02	-5.6867065e-02	4.3897975e-07	-2.4645071e-07
29             	1.8527374e-01	-9.7464809e-02	1.5184904e-07	1.7527263e-07	2.6786777e-07	8.1346153e-03	9.2637045e-02	9.2636695e-02	-4.0597789e-02	-5.6867020e-02	3.4379229e-07	-1.9194325e-07
30             	1.8527247e-01	-9.7464612e-02	1.1985714e-07	1.3771666e-07	2.0904826e-07	8.1345721e-03	9.2636374e-02	9.2636098e-02	-4.0597734e-02	-5.6866878e-02	2.6897683e-07	-1.4911969e-07
31             	1.8527158e-01	-9.7464523e-02	9.4687234e-08	1.0815040e-07	1.6290424e-07	8.1344307e-03	9.2635896e-02	9.2635680e-02	-4.0597831e-02	-5.6866692e-02	2.1024785e-07	-1.1556062e-07
32             	1.8527099e-01	-9.7464520e-02	7.4876009e-08	8.4891429e-08	1.2676545e-07	8.1342335e-03	9.2635578e-02	9.2635409e-02	-4.0598026e-02	-5.6866494e-02	1.6420346e-07	-8.9327451e-08
33             	1.8527064e-01	-9.7464582e-02	5.9263017e-08	6.6565955e-08	9.8482606e-08	8.1340086e-03	9.2635387e-02	9.2635254e-02	-4.0598282e-02	-5.6866300e-02	1.2811411e-07	-6.8851097e-08
34             	1.8527048e-01	-9.7464689e-02	4.6972343e-08	5.2106570e-08	7.6307687e-08	8.1337789e-03	9.2635290e-02	9.2635186e-02	-4.0598566e-02	-5.6866123e-02	9.9793859e-08	-5.2821516e-08
