# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
26             	(6.7815624e-01 2.2151313e-03 -1.0472420e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.7815624e-01 2.2151313e-03 -1.0472420e-03)
27             	(6.8852445e-01 2.2552140e-03 -8.9900121e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.8852445e-01 2.2552140e-03 -8.9900121e-04)
28             	(6.9781698e-01 2.2997647e-03 -7.5874740e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.9781698e-01 2.2997647e-03 -7.5874740e-04)
29             	(7.0616064e-01 2.3365359e-03 -6.3779587e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.0616064e-01 2.3365359e-03 -6.3779587e-04)
30             	(7.1366477e-01 2.3630956e-03 -5.3736438e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.1366477e-01 2.3630956e-03 -5.3736438e-04)
31             	(7.2042361e-01 2.3808646e-03 -4.5572812e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.2042361e-01 2.3808646e-03 -4.5572812e-04)
32             	(7.2650097e-01 2.3920513e-03 -3.8826714e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.2650097e-01 2.3920513e-03 -3.8826714e-04)
33             	(7.3195964e-01 2.3960853e-03 -3.3271834e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.3195964e-01 2.3960853e-03 -3.3271834e-04)
34             	(7.3684710e-01 2.3937119e-03 -2.8600240e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.3684710e-01 2.3937119e-03 -2.8600240e-04)
35             	(7.4119671e-01 2.3849267e-03 -2.4463565e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.4119671e-01 2.3849267e-03 -2.4463565e-04)
36             	(7.4505807e-01 2.3699067e-03 -2.0886849e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.4505807e-01 2.3699067e-03 -2.0886849e-04)
37             	(7.4846638e-01 2.3497925e-03 -1.7750319e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.4846638e-01 2.3497925e-03 -1.7750319e-04)
38             	(7.5145389e-01 2.3250892e-03 -1.4888412e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.5145389e-01 2.3250892e-03 -1.4888412e-04)
39             	(7.5405956e-01 2.2971307e-03 -1.2291411e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.5405956e-01 2.2971307e-03 -1.2291411e-04)
40             	(7.5632163e-01 2.2673717e-03 -9.9088932e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.5632163e-01 2.2673717e-03 -9.9088932e-05)
41             	(7.5826983e-01 2.2370216e-03 -7.6806395e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.5826983e-01 2.2370216e-03 -7.6806395e-05)
42             	(7.5993437e-01 2.2071295e-03 -5.5643063e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.5993437e-01 2.2071295e-03 -5.5643063e-05)
43             	(7.6134614e-01 2.1784004e-03 -3.5076612e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6134614e-01 2.1784004e-03 -3.5076612e-05)
44             	(7.6253656e-01 2.1513858e-03 -1.4716906e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6253656e-01 2.1513858e-03 -1.4716906e-05)
45             	(7.6353197e-01 2.1265864e-03 5.6956441e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6353197e-01 2.1265864e-03 5.6956441e-06)
46             	(7.6436206e-01 2.1043700e-03 2.6248553e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6436206e-01 2.1043700e-03 2.6248553e-05)
47             	(7.6505107e-01 2.0850617e-03 4.6825900e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6505107e-01 2.0850617e-03 4.6825900e-05)
48             	(7.6562208e-01 2.0688467e-03 6.7237540e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6562208e-01 2.0688467e-03 6.7237540e-05)
49             	(7.6609527e-01 2.0557397e-03 8.7159180e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6609527e-01 2.0557397e-03 8.7159180e-05)
50             	(7.6648864e-01 2.0456388e-03 1.0621634e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6648864e-01 2.0456388e-03 1.0621634e-04)
51             	(7.6681752e-01 2.0383361e-03 1.2401862e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6681752e-01 2.0383361e-03 1.2401862e-04)
52             	(7.6709469e-01 2.0335471e-03 1.4018767e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6709469e-01 2.0335471e-03 1.4018767e-04)
53             	(7.6733033e-01 2.0309435e-03 1.5445270e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6733033e-01 2.0309435e-03 1.5445270e-04)
54             	(7.6753276e-01 2.0301636e-03 1.6664071e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6753276e-01 2.0301636e-03 1.6664071e-04)
55             	(7.6770846e-01 2.0308479e-03 1.7670510e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6770846e-01 2.0308479e-03 1.7670510e-04)
56             	(7.6786243e-01 2.0326454e-03 1.8472511e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6786243e-01 2.0326454e-03 1.8472511e-04)
57             	(7.6799856e-01 2.0352394e-03 1.9087075e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6799856e-01 2.0352394e-03 1.9087075e-04)
58             	(7.6811971e-01 2.0383485e-03 1.9537343e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6811971e-01 2.0383485e-03 1.9537343e-04)
59             	(7.6822816e-01 2.0417447e-03 1.9849579e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6822816e-01 2.0417447e-03 1.9849579e-04)
60             	(7.6832556e-01 2.0452453e-03 2.0050233e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6832556e-01 2.0452453e-03 2.0050233e-04)
61             	(7.6841318e-01 2.0487087e-03 2.0164267e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6841318e-01 2.0487087e-03 2.0164267e-04)
62             	(7.6849211e-01 2.0520299e-03 2.0213897e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6849211e-01 2.0520299e-03 2.0213897e-04)
63             	(7.6856321e-01 2.0551378e-03 2.0217785e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6856321e-01 2.0551378e-03 2.0217785e-04)
64             	(7.6862723e-01 2.0579885e-03 2.0190813e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6862723e-01 2.0579885e-03 2.0190813e-04)
65             	(7.6868480e-01 2.0605522e-03 2.0144298e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6868480e-01 2.0605522e-03 2.0144298e-04)
66             	(7.6873647e-01 2.0628158e-03 2.0086571e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6873647e-01 2.0628158e-03 2.0086571e-04)
