# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
26             	(1.1116816e-01 1.8609393e-07 5.8479684e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116816e-01 1.8609393e-07 5.8479684e-02)
27             	(1.1116657e-01 1.4656852e-07 5.8479345e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116657e-01 1.4656852e-07 5.8479345e-02)
28             	(1.1116526e-01 1.1551743e-07 5.8479077e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116526e-01 1.1551743e-07 5.8479077e-02)
29             	(1.1116424e-01 9.1109423e-08 5.8478886e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116424e-01 9.1109423e-08 5.8478886e-02)
30             	(1.1116348e-01 7.1914284e-08 5.8478767e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116348e-01 7.1914284e-08 5.8478767e-02)
31             	(1.1116295e-01 5.6812340e-08 5.8478714e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116295e-01 5.6812340e-08 5.8478714e-02)
32             	(1.1116259e-01 4.4925605e-08 5.8478712e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116259e-01 4.4925605e-08 5.8478712e-02)
33             	(1.1116238e-01 3.5557810e-08 5.8478749e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116238e-01 3.5557810e-08 5.8478749e-02)
34             	(1.1116229e-01 2.8183406e-08 5.8478813e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116229e-01 2.8183406e-08 5.8478813e-02)
35             	(1.1116227e-01 2.2362670e-08 5.8478893e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116227e-01 2.2362670e-08 5.8478893e-02)
