e1x,e1y,e1z,e2x,e2y,e2z
0.11261241890432368,-0.0,0.993638990332262,-0.9936389898534165,0.0,0.11261242312943219
0.11247526431821793,-0.0,0.9924288028077994,-0.9933597518272196,0.023705954776796368,0.1125807761471072
0.11206678797776505,-0.0,0.9888245998038036,-0.9925234481496947,0.04737199374753166,0.11248599504571312
0.11139577340382376,-0.0,0.9829038829749097,-0.9911342902874326,0.07095853627721443,0.1123285571251697
0.11047628465201301,-0.0,0.9747907469295208,-0.9891992321020503,0.09442666553043431,0.11210925049039161
0.10932687194133259,-0.0,0.964648870070576,-0.9867278738394903,0.1177384442435313,0.11182916317004224
0.10796958339336268,-0.0,0.9526727946473121,-0.9837323313560838,0.14085721177169244,0.11148966829544738
0.10642888025828053,-0.0,0.9390783552201167,-0.9802270740283351,0.16374785717956053,0.11109240573032528
0.10473055064724525,-0.0,0.9240930939462761,-0.9762287355152894,0.18637706393984096,0.11063926062380987
0.10290070231669753,-0.0,0.9079473733826199,-0.9717559020907369,0.20871352271807747,0.1101323394213916
0.3083446994931182,0.40336599868411266,0.7742992849653847,-0.9614694702809771,0.25239403477805344,0.10896654957404207
0.4783013984572109,0.8746082714646143,0.0,-0.9635309971490695,0.2529352138521766,0.08736014609919933
0.47896067766914785,0.8758138105950132,0.0,-0.965143608360877,0.25335853825174826,0.06562976714177522
0.47943326400984204,0.8766779684751397,0.0,-0.9663004434296203,0.25366221746923023,0.04380562128668013
0.4797174881662581,0.877197692646872,0.0,-0.9669965443699994,0.2538449499905563,0.021918588932038536
0.4798123419427108,0.8773711395523854,0.0,-0.9672289125345563,0.25390594864480753,0.0
0.4797174881662581,0.877197692646872,0.0,-0.9669965443699994,0.2538449499905563,-0.021918588932038522
0.47943326400984204,0.8766779684751397,0.0,-0.9663004434296203,0.25366221746923023,-0.04380562128668013
0.47896067766914785,0.8758138105950132,0.0,-0.965143608360877,0.25335853825174826,-0.06562976714177522
0.4783013984572109,0.8746082714646143,0.0,-0.9635309971490695,0.2529352138521766,-0.0873601460991993
0.4129835415183107,0.629882187737667,-0.6045592949935912,-0.9614694689429788,0.2523940396765659,-0.108966550033717
0.1009648930527243,0.0,-0.8908667034063856,-0.9668288836224522,0.23072810970826066,-0.1095739439091943
0.10290070231669753,0.0,-0.9079473733826199,-0.9717559020907369,0.20871352271807742,-0.1101323394213916
0.1047305506472452,0.0,-0.9240930939462757,-0.9762287355152894,0.18637706393984102,-0.11063926062380987
0.10642888025828053,0.0,-0.9390783552201167,-0.9802270740283351,0.16374785717956053,-0.11109240573032528
0.10796958339336264,0.0,-0.9526727946473118,-0.9837323313560838,0.14085721177169247,-0.11148966829544738
0.10932687194133255,0.0,-0.9646488700705756,-0.9867278738394903,0.11773844424353135,-0.11182916317004224
0.110476284652013,0.0,-0.9747907469295207,-0.9891992321020503,0.09442666553043434,-0.11210925049039161
0.11139577340382374,0.0,-0.9829038829749096,-0.9911342902874326,0.07095853627721446,-0.1123285571251697
0.11206678797776505,0.0,-0.9888245998038036,-0.9925234481496947,0.04737199374753167,-0.11248599504571312
0.11247526431821793,0.0,-0.9924288028077994,-0.9933597518272196,0.023705954776796392,-0.1125807761471072
0.11261241890432368,0.0,-0.993638990332262,-0.9936389898534165,-2.991622767516541e-18,-0.11261242312943219
0.11247526431821794,0.0,-0.9924288028077997,-0.9933597518272196,-0.023705954776796347,-0.1125807761471072
0.11206678797776505,0.0,-0.9888245998038036,-0.9925234481496947,-0.04737199374753167,-0.11248599504571312
0.11139577340382376,0.0,-0.9829038829749097,-0.9911342902874326,-0.07095853627721445,-0.1123285571251697
0.110476284652013,0.0,-0.9747907469295207,-0.9891992321020503,-0.09442666553043434,-0.11210925049039161
0.10932687194133259,0.0,-0.964648870070576,-0.9867278738394903,-0.1177384442435313,-0.11182916317004224
0.10796958339336268,0.0,-0.9526727946473121,-0.9837323313560838,-0.14085721177169244,-0.11148966829544738
0.10642888025828053,0.0,-0.9390783552201167,-0.9802270740283351,-0.16374785717956056,-0.11109240573032528
0.10473055064724514,0.0,-0.9240930939462753,-0.9762287355152894,-0.18637706393984102,-0.11063926062380987
0.25011212949535666,-0.2864296567980547,-0.8247433317698822,-0.9614694709781484,-0.2523940326332426,-0.10896654839045415
0.4783013984572109,-0.8746082714646143,0.0,-0.9635309971490695,-0.2529352138521766,-0.08736014609919933
0.47896067766914785,-0.8758138105950132,0.0,-0.965143608360877,-0.25335853825174826,-0.06562976714177522
0.47943326400984204,-0.8766779684751397,0.0,-0.9663004434296203,-0.25366221746923023,-0.04380562128668013
0.4797174881662581,-0.877197692646872,0.0,-0.9669965443699994,-0.2538449499905563,-0.021918588932038536
0.4798123419427108,-0.8773711395523854,0.0,-0.9672289125345563,-0.25390594864480753,0.0
0.4797174881662581,-0.877197692646872,0.0,-0.9669965443699994,-0.2538449499905563,0.021918588932038522
0.47943326400984204,-0.8766779684751397,0.0,-0.9663004434296203,-0.25366221746923023,0.04380562128668013
0.47896067766914785,-0.8758138105950132,0.0,-0.965143608360877,-0.25335853825174826,0.06562976714177522
0.4783013984572109,-0.8746082714646143,0.0,-0.9635309971490695,-0.2529352138521766,0.0873601460991993
0.4129835415183107,-0.629882187737667,0.6045592949935912,-0.9614694689429788,-0.2523940396765659,0.108966550033717
0.1009648930527243,-0.0,0.8908667034063856,-0.9668288836224522,-0.23072810970826066,0.1095739439091943
0.10290070231669753,-0.0,0.9079473733826199,-0.9717559020907369,-0.20871352271807742,0.1101323394213916
